2025-05-28 14:32:19.828 [background-preinit] INFO  org.hibernate.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.2.5.Final
2025-05-28 14:32:19.832 [main] INFO  com.luotao.job.JobApplicationTests:55 - Starting JobApplicationTests using Java 1.8.0_31 on T with PID 8448 (started by T in D:\workspace\java-projects\my-blog\my-javapp\job-api)
2025-05-28 14:32:19.834 [main] INFO  com.luotao.job.JobApplicationTests:631 - No active profile set, falling back to 1 default profile: "default"
2025-05-28 14:32:21.350 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-28 14:32:21.354 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-05-28 14:32:21.441 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 69 ms. Found 0 Redis repository interfaces.
2025-05-28 14:32:28.544 [main] INFO  com.luotao.job.JobApplicationTests:61 - Started JobApplicationTests in 9.329 seconds (JVM running for 11.082)
2025-05-28 14:45:17.822 [main] INFO  com.luotao.job.JobApplicationTests:55 - Starting JobApplicationTests using Java 1.8.0_31 on T with PID 4688 (started by T in D:\workspace\java-projects\my-blog\my-javapp\job-api)
2025-05-28 14:45:17.825 [main] INFO  com.luotao.job.JobApplicationTests:631 - No active profile set, falling back to 1 default profile: "default"
2025-05-28 14:45:17.825 [background-preinit] INFO  org.hibernate.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.2.5.Final
2025-05-28 14:45:19.591 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-28 14:45:19.596 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-05-28 14:45:19.688 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 73 ms. Found 0 Redis repository interfaces.
2025-05-28 14:45:27.227 [main] INFO  com.luotao.job.JobApplicationTests:61 - Started JobApplicationTests in 9.896 seconds (JVM running for 11.11)
