2025-06-02 18:36:32.078 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 19664 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-06-02 18:36:32.087 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-06-02 18:36:33.546 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-02 18:36:33.549 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-02 18:36:33.583 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-06-02 18:36:34.069 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=e98ef04a-ed56-384a-8981-6e9b50b59cda
2025-06-02 18:36:34.522 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-06-02 18:36:34.524 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-06-02 18:36:34.524 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-06-02 18:36:34.524 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-06-02 18:36:34.530 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-06-02 18:36:34.539 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-06-02 18:36:34.540 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-06-02 18:36:34.541 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-06-02 18:36:34.742 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-06-02 18:36:34.742 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2591 ms
2025-06-02 18:36:35.543 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-06-02 18:36:35.563 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-06-02 18:36:46.270 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 380 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-06-02 18:36:46.275 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-06-02 18:36:47.433 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-02 18:36:47.436 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-02 18:36:47.460 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2025-06-02 18:36:47.861 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=e98ef04a-ed56-384a-8981-6e9b50b59cda
2025-06-02 18:36:48.331 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-06-02 18:36:48.332 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-06-02 18:36:48.333 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-06-02 18:36:48.333 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-06-02 18:36:48.339 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-06-02 18:36:48.351 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-06-02 18:36:48.354 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-06-02 18:36:48.354 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-06-02 18:36:48.571 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-06-02 18:36:48.572 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2246 ms
2025-06-02 18:36:49.232 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-06-02 18:36:49.252 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-06-02 18:37:12.604 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 4144 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-06-02 18:37:12.610 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-06-02 18:37:14.070 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-02 18:37:14.077 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-02 18:37:14.114 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2025-06-02 18:37:14.610 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=e98ef04a-ed56-384a-8981-6e9b50b59cda
2025-06-02 18:37:15.124 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-06-02 18:37:15.125 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-06-02 18:37:15.126 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-06-02 18:37:15.126 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-06-02 18:37:15.132 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-06-02 18:37:15.142 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-06-02 18:37:15.144 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-06-02 18:37:15.145 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-06-02 18:37:15.362 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-06-02 18:37:15.363 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2683 ms
2025-06-02 18:37:16.175 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-06-02 18:37:16.196 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-06-02 18:40:14.493 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 5428 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-06-02 18:40:14.500 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-06-02 18:40:15.746 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-02 18:40:15.750 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-02 18:40:15.778 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-06-02 18:40:16.175 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=e98ef04a-ed56-384a-8981-6e9b50b59cda
2025-06-02 18:40:16.582 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-06-02 18:40:16.583 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-06-02 18:40:16.583 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-06-02 18:40:16.583 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-06-02 18:40:16.587 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-06-02 18:40:16.597 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-06-02 18:40:16.598 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-06-02 18:40:16.598 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-06-02 18:40:16.770 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-06-02 18:40:16.771 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2191 ms
2025-06-02 18:40:17.464 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-06-02 18:40:17.482 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-06-02 18:40:26.835 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 22100 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-06-02 18:40:26.840 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-06-02 18:40:27.979 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-02 18:40:27.983 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-02 18:40:28.008 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
2025-06-02 18:40:28.433 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=e98ef04a-ed56-384a-8981-6e9b50b59cda
2025-06-02 18:40:28.931 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-06-02 18:40:28.932 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-06-02 18:40:28.933 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-06-02 18:40:28.933 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-06-02 18:40:28.940 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
