2025-10-21 15:36:51.074 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 15900 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-10-21 15:36:51.083 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-10-21 15:36:52.587 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-21 15:36:52.593 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-21 15:36:52.626 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2025-10-21 15:36:53.065 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=7d4df71e-1fd3-3ec4-ac84-c1362f9b7a60
2025-10-21 15:36:53.567 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-10-21 15:36:53.569 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-10-21 15:36:53.570 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-10-21 15:36:53.570 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-10-21 15:36:53.601 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-10-21 15:36:53.611 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-10-21 15:36:53.613 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-10-21 15:36:53.614 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-10-21 15:36:53.795 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-10-21 15:36:53.796 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 2649 ms
2025-10-21 15:36:55.616 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-10-21 15:36:55.630 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-10-21 15:40:33.796 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 24088 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-10-21 15:40:33.801 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-10-21 15:40:34.837 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-21 15:40:34.840 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-21 15:40:34.866 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2025-10-21 15:40:35.213 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=7d4df71e-1fd3-3ec4-ac84-c1362f9b7a60
2025-10-21 15:40:35.579 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-10-21 15:40:35.581 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-10-21 15:40:35.581 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-10-21 15:40:35.581 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-10-21 15:40:35.585 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-10-21 15:40:35.591 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-10-21 15:40:35.593 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2025-10-21 15:40:35.594 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-10-21 15:40:35.728 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
2025-10-21 15:40:35.728 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 1880 ms
2025-10-21 15:40:37.287 [main] INFO  org.apache.catalina.core.StandardService:173 - Stopping service [Tomcat]
2025-10-21 15:40:37.301 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener:136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-10-21 15:40:52.215 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:55 - Starting Oauth2ServerApplication using Java 1.8.0_31 on T with PID 26868 (D:\workspace\java-projects\my-blog\my-javapp\ms-oauth2-server\target\classes started by T in D:\workspace\java-projects\my-blog\my-javapp)
2025-10-21 15:40:52.221 [main] INFO  com.luotao.oauth2.server.Oauth2ServerApplication:632 - No active profile set, falling back to 1 default profile: "default"
2025-10-21 15:40:53.357 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-21 15:40:53.361 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-21 15:40:53.392 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-10-21 15:40:53.812 [main] INFO  o.springframework.cloud.context.scope.GenericScope:283 - BeanFactory id=7d4df71e-1fd3-3ec4-ac84-c1362f9b7a60
2025-10-21 15:40:54.235 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 8082 (http)
2025-10-21 15:40:54.237 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - Loaded Apache Tomcat Native library [1.2.39] using APR version [1.7.4].
2025-10-21 15:40:54.237 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2025-10-21 15:40:54.237 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-10-21 15:40:54.241 [main] INFO  org.apache.catalina.core.AprLifecycleListener:173 - OpenSSL successfully initialized [OpenSSL 3.0.11 19 Sep 2023]
2025-10-21 15:40:54.249 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8082"]
2025-10-21 15:40:54.251 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
